temperature	asymmetry	asymmetry_errorbar	asymmetry_fit
2.7058823529411766e-06	0.2023701039534653	0.0033864488243455443	0.20119898368447128	
2.7450980392156863e-06	0.19900341157333787	0.0034336601330569936	0.20049149353366083	
2.7843137254901965e-06	0.19368081444691365	0.0034711196950691736	0.19978767604085063	
2.823529411764706e-06	0.20002068640308182	0.0034881843195460195	0.19908771738511247	
2.862745098039216e-06	0.19770155662680047	0.0035143674179772275	0.19839179125758907	
2.9019607843137257e-06	0.20173744261091625	0.0035475643780486414	0.1977000591007108	
2.9411764705882355e-06	0.19494867300220264	0.0035973525854501465	0.1970126703499989	
2.980392156862745e-06	0.19366121776170334	0.0036262186649076893	0.19632976267947533	
3.0196078431372545e-06	0.19301487266884482	0.003652051963513129	0.19565146225482316	
3.0588235294117643e-06	0.19492386940155224	0.0036882783182865175	0.19497788399947574	
