temperature	asymmetry	asymmetry_errorbar	asymmetry_fit
2.7058823529411766e-06	0.19232393077956667	0.0034405414426429836	0.18887966804617476	
2.7450980392156863e-06	0.19128632386782193	0.003480945851928087	0.18852277601399772	
2.7843137254901965e-06	0.18644343697775162	0.0035169404519173873	0.1881946812149539	
2.823529411764706e-06	0.18999273691865046	0.0035375315340435477	0.1878913314413505	
2.862745098039216e-06	0.18757729716309884	0.003574965788078137	0.1876050676460114	
2.9019607843137257e-06	0.18764932720607216	0.0036123478425041993	0.18732605867862812	
2.9411764705882355e-06	0.1900247753400998	0.0036286544318297046	0.1870439483249957	
2.980392156862745e-06	0.18533889614629412	0.0036745590116919686	0.18674944368846702	
3.0196078431372545e-06	0.18893571940068288	0.003709142669757928	0.18643560678579557	
3.0588235294117643e-06	0.18763944239647745	0.0037393877595381605	0.1860986776881702	
